ticket_id,created_at,customer_id,department,city_x,state_x,device_type,os,browser,network_type,historical_tickets,sla_hours,resolution_time_hours,title,description,image_path,image_width,image_height,priority,status,assigned_team,has_attachment,sentiment_score,num_words,num_images_x,latitude,longitude,num_events,num_abertura,num_updates,num_encerramento,target_category
2399,2025-01-29T07:43:00,9207,Financeiro,Curitiba,PR,Notebook,Windows,Safari,WiFi,38,48,48,Relatório financeiro não fica lento corretamente.,Relatório financeiro não fica lento corretamente.,images/finance_report.png,738,414,Baixa,Aberto,N2,1,-0.192,7,1,-30.328203,-46.238127,0,0,0,0,Financeiro
163,2025-01-02T22:11:00,2654,Financeiro,Belo Horizonte,RS,Mobile,Linux,Safari,WiFi,32,48,16,Falha de rede: ruído ao tentar exportar dados.,Falha de rede: ruído ao tentar exportar dados.,images/network.png,500,342,Crítica,Aberto,Aplicações,0,0.218,7,2,-24.736663,-43.466115,0,0,0,0,Rede
4760,2025-02-26T04:40:00,1289,TI,Santos,RJ,Desktop,Android,Edge,5G,16,24,5,O Excel apresenta tela azul e não abrir documento.,O Excel apresenta tela azul e não abrir documento.,images/office.png,500,333,Média,Fechado,Infra,1,0.764,7,1,-27.905731,-44.973292,0,0,0,0,Software
4376,2025-02-21T15:52:00,3907,TI,Santos,MG,Notebook,Windows,Safari,4G,7,48,18,O usuário não consegue fazer login devido a superaquece.,O usuário não consegue fazer login devido a superaquece.,images/login.png,500,333,Média,Fechado,N1,1,-0.71,6,3,-27.547019,-44.267703,0,0,0,0,Acesso
3073,2025-02-06T06:41:00,1607,Financeiro,Campinas,RS,Desktop,Windows,Safari,5G,26,12,67,Falha no sistema financeiro: não liga ao gerar relatório.,Falha no sistema financeiro: não liga ao gerar relatório.,images/finance_report.png,738,414,Alta,Aberto,N2,1,-0.689,5,1,-25.400518,-43.839057,0,0,0,0,Financeiro
2923,2025-02-04T12:11:00,2518,Operações,Belo Horizonte,PR,Desktop,Android,Edge,4G,18,4,43,Problema de conectividade: desliga durante importar dados.,Problema de conectividade: desliga durante importar dados.,images/default_network.png,500,333,Alta,Em andamento,Infra,0,-0.634,4,0,-23.761465,-48.931943,0,0,0,0,Rede
603,2025-01-08T02:51:00,5030,Operações,Campinas,RS,Desktop,Android,Safari,5G,23,12,28,O aplicativo Word fecha inesperadamente quando gerar relatór...,O aplicativo Word fecha inesperadamente quando gerar relatório.,images/office.png,500,333,Média,Em andamento,N1,1,-0.399,5,3,-33.245346,-50.949936,0,0,0,0,Software
2657,2025-02-01T08:49:00,3500,TI,Campinas,BA,Desktop,Android,Firefox,WiFi,25,4,39,Problema de conectividade: emite beep durante gerar relatóri...,Problema de conectividade: emite beep durante gerar relatório.,images/finance_report.png,738,414,Crítica,Fechado,Infra,1,-0.094,4,0,-29.281493,-47.40449,0,0,0,0,Rede
875,2025-01-11T07:55:00,4577,TI,Campinas,RS,Notebook,Android,Safari,Cabo,27,8,60,Falha de rede: ruído ao tentar imprimir.,Falha de rede: ruído ao tentar imprimir.,images/network.png,500,342,Crítica,Aberto,Infra,0,-0.915,6,3,-32.971624,-46.533871,0,0,0,0,Rede
1659,2025-01-20T14:03:00,3583,Operações,Santos,RS,Mobile,Linux,Safari,5G,7,8,48,Falha no Sistema de RH: emite beep ao tentar imprimir.,Falha no Sistema de RH: emite beep ao tentar imprimir.,images/default_software.png,612,344,Baixa,Fechado,N1,1,0.66,6,2,-23.426486,-49.297479,0,0,0,0,Software
250,2025-01-03T22:50:00,2007,TI,Campinas,RJ,Mobile,Windows,Firefox,Cabo,28,48,38,Problema de conectividade: emite beep durante abrir document...,Problema de conectividade: emite beep durante abrir documento.,images/default_network.png,500,333,Crítica,Aberto,N2,1,-0.401,5,2,-23.788332,-43.826903,0,0,0,0,Rede
1012,2025-01-12T22:44:00,9448,RH,Campinas,RJ,Notebook,Windows,Firefox,4G,11,12,40,O ERP exibe perda de dados ao gerar relatório.,O ERP exibe perda de dados ao gerar relatório.,images/sap_erp.png,612,344,Média,Em andamento,N1,1,-0.013,6,0,-28.961147,-43.608187,0,0,0,0,Financeiro
971,2025-01-12T11:07:00,4245,TI,Curitiba,PR,Notebook,Android,Edge,Cabo,4,4,50,O usuário não consegue enviar email devido a não liga.,O usuário não consegue enviar email devido a não liga.,images/email.png,500,333,Crítica,Fechado,N1,0,0.803,3,2,-27.018738,-45.211384,0,0,0,0,Acesso
4144,2025-02-18T22:08:00,4234,Financeiro,Belo Horizonte,SP,Desktop,Android,Safari,WiFi,17,8,13,Falha no sistema financeiro: falha ao importar dados.,Falha no sistema financeiro: falha ao importar dados.,images/finance_report.png,738,414,Crítica,Aberto,N2,0,-0.429,6,0,-25.970866,-45.230327,0,0,0,0,Financeiro
4811,2025-02-26T19:07:00,6162,Financeiro,Santos,SP,Mobile,iOS,Edge,Cabo,18,48,55,O módulo financeiro reinicia sozinho ao exportar dados.,O módulo financeiro reinicia sozinho ao exportar dados.,images/finance_report.png,738,414,Alta,Fechado,N2,1,-0.502,7,2,-24.656868,-44.633004,0,0,0,0,Financeiro
489,2025-01-06T18:33:00,8867,Operações,Curitiba,SP,Mobile,Windows,Edge,4G,4,24,24,Problema de hardware: o placa-mãe fica lento inesperadamente...,Problema de hardware: o placa-mãe fica lento inesperadamente.,images/motherboard.png,612,408,Alta,Em andamento,Aplicações,0,-0.545,4,1,-32.198771,-46.982302,0,0,0,0,Hardware
3328,2025-02-09T06:56:00,7685,Financeiro,São Paulo,MG,Notebook,Windows,Safari,Cabo,14,4,2,Problema de conectividade: superaquece durante fazer login.,Problema de conectividade: superaquece durante fazer login.,images/login.png,500,333,Alta,Em andamento,N2,1,0.612,5,2,-30.225323,-43.245934,0,0,0,0,Rede
4233,2025-02-19T23:21:00,2111,Operações,Belo Horizonte,PR,Notebook,iOS,Safari,Cabo,19,24,39,Falha de autenticação ao tentar fazer login.,Falha de autenticação ao tentar fazer login.,images/login.png,500,333,Alta,Fechado,Aplicações,1,-0.674,6,3,-24.066554,-45.591281,0,0,0,0,Acesso
2163,2025-01-26T12:51:00,7488,Financeiro,Santos,BA,Notebook,Linux,Safari,Cabo,12,48,61,O usuário não consegue fazer login devido a apresenta erro.,O usuário não consegue fazer login devido a apresenta erro.,images/login.png,500,333,Baixa,Aberto,Infra,1,-0.845,6,3,-27.122039,-45.731745,0,0,0,0,Acesso
